Job Title,Company,Salary,Experience,Location,Skills,Source
"Automation Tester (Java, Selenium)",CODE88 COMPANY LIMITED,Thỏa thuận,N/A,Ho Chi Minh,"Automation Test, Tester, QA QC, English, Selenium, Java",ITViec
"Principal/Senior Hybrid QA QC (Manual, Automation)","MONEY FORWARD VIETNAM CO.,LTD",Thỏa thuận,N/A,Ho Chi Minh,"QA QC, Playwright, Postman, API, Automation Test, Agile",ITViec
Principal/Senior Golang Engineer,"MONEY FORWARD VIETNAM CO.,LTD",Thỏa thuận,N/A,Ho Chi Minh,"Golang, CI/CD, PostgreSql, MySQL, AWS, English",ITViec
Senior Application Security/ Threat Modelling,Dai-ichi Life Việt Nam,Thỏa thuận,N/A,Ho Chi Minh,"Application Security, Microservices, API, DevSecOps",ITViec
AI Builder Product Manager (Good English),Spartan Dev Inc,Thỏa thuận,N/A,Ho Chi Minh,"Product Management, LLM, Data-driven, English, PRD, AI",ITViec
(Lead/Senior) AI-Native Software Engineering,KMS Technology,Thỏa thuận,N/A,Ho Chi Minh,"Software Architecture, LLM, English, AI",ITViec
"Tech Lead (Java, React Native, AWS, English)",Pizza Hut Digital & Technology,Thỏa thuận,N/A,Ho Chi Minh,"Fullstack, English, AWS, React Native, Java, Leadership",ITViec
"Site Reliability Engineer (SRE, AWS, Azure, Cloud)",Pizza Hut Digital & Technology,Thỏa thuận,N/A,Ho Chi Minh,"Incident Response, Cloud, DevSecOps, Terraform, English",ITViec
Java Software Engineer,Pizza Hut Digital & Technology,Thỏa thuận,N/A,Ho Chi Minh,"Java, Event-Driven Architecture, API, SQL, Spring Boot",ITViec
"Bridge Engineer (BrSE/Project Manager, Japanese N2)",IVS,Thỏa thuận,N/A,Ho Chi Minh,"Bridge Engineer, .NET, C#, Japanese, Project Management",ITViec
"Junior iOS Mobile Developer (Swift, English)",Motorist Pte Ltd,Thỏa thuận,N/A,Ho Chi Minh,"iOS, API, Database, OOP, Swift, English",ITViec
Senior Data Engineer (Data Platform),Vinamilk,Thỏa thuận,N/A,Ho Chi Minh,"Data Engineer, Terraform, Kafka, AWS, Data Warehousing",ITViec
Java (Spring) Backend Engineer (Middle/Senior),Floating Cube Studios,Thỏa thuận,N/A,Ho Chi Minh,"Java, Spring Boot, OOP, Spring, AWS, SQL",ITViec
Information Security & Cyber Resiliance Officer,AURIFY,Thỏa thuận,N/A,Ho Chi Minh,"Information Security, ISO 27001, Cloud Security, PCI DSS",ITViec
