Job Title,Company,Salary,Skills,Location
Global Microsoft Endpoint Engineer,Renesas Design Vietnam,You'll love it,"English, IT Support",Ho Chi Minh
Mid/Senior IT Business Analyst (BA),Ahasoft,You'll love it,"Business Analysis, Stakeholder management, Figma, BRD",Ho Chi Minh
Engineering Director (Open for Expat),"MONEY FORWARD VIETNAM CO.,LTD",You'll love it,"Project Management, Team Management, English",Ho Chi Minh
"Senior .Net Developer(C#, ASP.NET Core, Azure)",Ahasoft,You'll love it,".NET, AI, VueJS, C#, Azure, ASP.NET",Ho Chi Minh
Java Software Engineer,Home Credit Vietnam,You'll love it,"Java, Spring Boot",Ho Chi Minh
Odoo Functional Consultant,Port Cities Vietnam,You'll love it,"Odoo, ERP, English",Ho Chi Minh
Senior/Lead Python Engineer,CODE LEAP,You'll love it,"Django, Python, AWS",Ho Chi Minh
Senior/Lead Data Engineer,Grab (Vietnam) Ltd.,You'll love it,"Python, AWS, Scala, Golang, Apache Spark",Ho Chi Minh
Senior Security Engineer (Application Security),CodeLink,You'll love it,"Application Security, Vulnerability Management, DevSecOps",Ho Chi Minh
"QA Automation Tester (Java, Javascript)",MiTek Vietnam,You'll love it,"Automation Test, Python, JavaScript, Robot Framework, Tester",Ho Chi Minh
"Head of Engineering, Backend, Frontend, DevOps, .NET",TOPPION GROUP,Thỏa thuận,"Team Management, DevOps, Docker, Microservices, .Net Core",Ho Chi Minh
.NET Developer,Simpson Strong-Tie Vietnam,You'll love it,".NET, English, .Net Core, C#",Ho Chi Minh
Senior Full-stack Developer (SAP Hybris),Simpson Strong-Tie Vietnam,You'll love it,"Java, Microservices, ReactJS, Spring Boot, SAP",Ho Chi Minh
AI Engineer,Dirox,You'll love it,"AI, Python, Docker, LLM, Generative AI",Ho Chi Minh
Game Client Developer (Cocos Creator/Unity/C#),RGP Software Processing,You'll love it,"Games, Spin, Cocos Creator, Cocos2d-x, C#, Unity",Ho Chi Minh
Backend Developer (Java/ WebSocket/ Redis/ Kafka),RGP Software Processing,You'll love it,"Java, Redis, MySQL, Kafka, Spring",Ho Chi Minh
