Job Title,Company,Salary,Experience,Location,Skills,Source,Location_Clean_Fixed
Technical Lead (Go/Java/Kotlin/TypeScript/Python),"MONEY FORWARD VIETNAM CO.,LTD",Thỏa thuận,,Ho Chi Minh,"Golang, Python, TypeScript, Kotlin, Java",ITViec,Ho Chi Minh
"Software Engineer II (C#, dotnet,Java)",Motorola Solutions,Thỏa thuận,,Ho Chi Minh,,ITViec,Ho Chi Minh
Project Manager,MOR,Thỏa thuận,,Ho Chi Minh,,ITViec,Ho Chi Minh
Frontend Engineer,Vulcan Labs,Thỏa thuận,,Ho Chi Minh,,ITViec,Ho Chi Minh
"Senior iOS Engineer (Swift, MVVM, MVC)",EPAM Vietnam,Thỏa thuận,,Ho Chi Minh,,ITViec,Ho Chi Minh
"Senior Java Engineer (Spring Boot, Microservices, SQL)",EPAM Vietnam,Thỏa thuận,,Ho Chi Minh,,ITViec,Ho Chi Minh
[HCM] Salesforce Developer (All level) | Up to 55M VND,Hybrid Technologies,Thỏa thuận,,Ho Chi Minh,,ITViec,Ho Chi Minh
"Mobile App Developer (.NET, Xamarin, iOS/Android, AI)",Song Technologies LLC,Thỏa thuận,,Ho Chi Minh,,ITViec,Ho Chi Minh
Technical Architect,HSC,Thỏa thuận,,Ho Chi Minh,,ITViec,Ho Chi Minh
"Manual QA Engineer/Tester (QA QC, English, Insurance)",FWD VTC,Thỏa thuận,,Ho Chi Minh,,ITViec,Ho Chi Minh
Software Project Manager – Japanese OR Chinese Speaking,Bosch Global Software Technologies Company Limited,Thỏa thuận,,Ho Chi Minh,,ITViec,Ho Chi Minh
"R&D System Engineer (VMware, Docker, Kubernetes)",GLOBALTECH,Thỏa thuận,,Ho Chi Minh,,ITViec,Ho Chi Minh
Fullstack Software Engineer,Talosix,Thỏa thuận,,Ho Chi Minh,,ITViec,Ho Chi Minh
Mid/ Senior Game developer ( Cocos Creator ),BinarixTech,Thỏa thuận,,Ho Chi Minh,,ITViec,Ho Chi Minh
Senior QC Engineer,Vietlink,Thỏa thuận,,Ho Chi Minh,,ITViec,Ho Chi Minh
.NET Developer (Mortgage Systems),Topicus Vietnam,Thỏa thuận,,Ho Chi Minh,,ITViec,Ho Chi Minh
"Chuyên viên Phát triển MIS (Data Analyst/ Engineer, BI)",SACOMBANK,Thỏa thuận,,Ho Chi Minh,,ITViec,Ho Chi Minh
Chuyên viên QC (Automation Tester/ QA QC),SACOMBANK,Thỏa thuận,,Ho Chi Minh,,ITViec,Ho Chi Minh
Requirements Management Tools DevOps Engineer,Renesas Design Vietnam,Thỏa thuận,,Ho Chi Minh,,ITViec,Ho Chi Minh
"Data Engineer (Java, Kafka, Spark, Flink, Hadoop)",Tổng công ty Tân Cảng Sài Gòn (Saigon NewPort Corporation),Thỏa thuận,,Ho Chi Minh,,ITViec,Ho Chi Minh
Security Operations Center Analyst (IT Support),Mắt Bão BPO,Thỏa thuận,,Ho Chi Minh,,ITViec,Ho Chi Minh
Quản trị hệ thống Cơ sở Dữ liệu (DBA - Database Admin),SACOMBANK,Thỏa thuận,,Ho Chi Minh,,ITViec,Ho Chi Minh
CV Quản Trị Hệ Thống/ System Admin (Unix/ Linux),SACOMBANK,Thỏa thuận,,Ho Chi Minh,,ITViec,Ho Chi Minh
