Job Title,Company,Salary,Skills,Location
"AI Engineer (NLP, ML)",N/A,Thỏa thuận,,Ho Chi Minh
"Business Analyst (Product Owner, Agile)",N/A,Thỏa thuận,,Ho Chi Minh
Mobile Developer (Flutter),N/A,Thỏa thuận,,Ho Chi Minh
Fullstack Developer (mạnh FE),N/A,Thỏa thuận,,Ho Chi Minh
.NET developer (ERP sản xuất phức tạp),N/A,Thỏa thuận,,Ho Chi Minh
"Fullstack Dev ( ReactJS, JavaScript, NodeJS, API, AI )",N/A,Thỏa thuận,,Ho Chi Minh
"React Native Dev - Mobile & Web ( JavaScript, Redux )",N/A,Thỏa thuận,,Ho Chi Minh
Remote Backend Developer (NodeJS),N/A,Thỏa thuận,,Ho Chi Minh
Infrastructure Engineer (System Admin) up to $2500,N/A,Infrastructure Engineer (System Admin) up to $2500,,Ho Chi Minh
Manual Test Engineer (Automotive Domain_From 3+YOE),N/A,Thỏa thuận,,Ho Chi Minh
Backend Developer (Java/ Odoo (Python)) - VIC,N/A,Thỏa thuận,,Ho Chi Minh
Middle/Senior Full-stack .NET Developer,N/A,Thỏa thuận,,Ho Chi Minh
[Global Market] Business Analyst - Upto 40M,N/A,Thỏa thuận,,Ho Chi Minh
Software Project Leader - Project Manager,N/A,Thỏa thuận,,Ho Chi Minh
AI Development Evangelist,N/A,Thỏa thuận,,Ho Chi Minh
"Fullstack Developer (Java or NodeJS, AWS, API)",N/A,Thỏa thuận,,Ho Chi Minh
"AI Engineer (Fresher, Ứng viên chuẩn bị tốt nghiệp)",N/A,Thỏa thuận,,Ho Chi Minh
AI Engineer (Computer Vision/NPL/LLM),N/A,Thỏa thuận,,Ho Chi Minh
"Solution Architect (open for SA, Devlead)",N/A,Thỏa thuận,,Ho Chi Minh
"BackEnd Engineer (Fresher, UV chuẩn bị tốt nghiệp)",N/A,Thỏa thuận,,Ho Chi Minh
"Business Analyst (Project Manager, Agile)",N/A,Thỏa thuận,,Ho Chi Minh
Technical / Solution Architect (C#/ WPF/ Cloud / AWS),N/A,Thỏa thuận,,Ho Chi Minh
"(Đống Đa, HN) AI Engineer (Python, AI API, Javascript)",N/A,Thỏa thuận,,Ho Chi Minh
Viettel Future Changemakers - Project Manager,N/A,Thỏa thuận,,Ho Chi Minh
"Solution Architecture (Java, AWS, BI) - KCN - 4M017",N/A,Thỏa thuận,,Ho Chi Minh
"(Đống Đa, HN) iOS Dev (Swift, Flutter)",N/A,Thỏa thuận,,Ho Chi Minh
[Hanoi] Senior Manager (Japanese N2+),N/A,Thỏa thuận,,Ho Chi Minh
Project Manager (PM / Senior PM) – Digital Transformati,N/A,Thỏa thuận,,Ho Chi Minh
Senior Ruby on Rails Developer,N/A,Thỏa thuận,,Ho Chi Minh
[Junior-Senior] Software Engineer (Fullstack),N/A,Thỏa thuận,,Ho Chi Minh
"Manual Tester (Financial, Securities)",N/A,Thỏa thuận,,Ho Chi Minh
FullStack Java Developer (Junior - Middle),N/A,Thỏa thuận,,Ho Chi Minh
"Business Analyst (Figma, UML)",N/A,Thỏa thuận,,Ho Chi Minh
Java Software Engineer,N/A,Thỏa thuận,,Ho Chi Minh
Backend Engineer (Nodejs),N/A,Thỏa thuận,,Ho Chi Minh
Middle/ Senior PHP Dev ( AI/ MVC/ Laravel/ JavaScript ),N/A,Thỏa thuận,,Ho Chi Minh
Data Program Owner (Data Analyst/Database/SQL),N/A,Thỏa thuận,,Ho Chi Minh
"Sr. Data Quality/ Data Governance (ETL, Power BI)",N/A,Thỏa thuận,,Ho Chi Minh
Solution Architect (SQL),N/A,Thỏa thuận,,Ho Chi Minh
"[Hanoi] Senior Site Reliability Engineer (SRE, DevOps)",N/A,Thỏa thuận,,Ho Chi Minh
CVCC Quản trị cơ sở dữ liệu (DBA),N/A,Thỏa thuận,,Ho Chi Minh
CVCC Giám sát An toàn thông tin (SOC),N/A,Thỏa thuận,,Ho Chi Minh
"Data Analyst (Google BigQuery, SQL, Python)",N/A,Thỏa thuận,,Ho Chi Minh
"QA Engineer (QA QC, Tester)",N/A,Thỏa thuận,,Ho Chi Minh
"Senior Fullstack Developer (Python, JavaScript)",N/A,Thỏa thuận,,Ho Chi Minh
Unity Developer (Game),N/A,Thỏa thuận,,Ho Chi Minh
Chuyên viên Quản trị hệ thống CNTT,N/A,Thỏa thuận,,Ho Chi Minh
Chuyên viên Quản trị ứng dụng và cơ sở dữ liệu,N/A,Thỏa thuận,,Ho Chi Minh
"AI Engineer (AI Voice , OCR, Python)",N/A,Thỏa thuận,,Ho Chi Minh
"Business Analyst (Figma, Postman, API)",N/A,Thỏa thuận,,Ho Chi Minh
"Front End Developer (ReactJS, JavaScript, HTML, CSS)",N/A,Thỏa thuận,,Ho Chi Minh
Chuyên viên khai thác ứng dụng,N/A,Thỏa thuận,,Ho Chi Minh
