Job Title,Company,Salary,Experience,City,Skills
Nhân Viên Hỗ Trợ Sản Phẩm Biết Tiếng Anh Hoặc Tiếng Trung,CÔNG TY TNHH MẠNG LƯỚI THÔNG MINH VIỆT NAM,Thỏa thuận,1 năm,Hồ Chí Minh (mới),
Nhân Viên Thiết Kế Thị Trường Quốc Tế- Designer POD (Có Từ 1 Năm Kinh Nghiệm),CÔNG TY TNHH TOP GMV GLOBAL,Thỏa thuận,1 năm,Hà Nội,May mặc ...
Software Tester Tại Hà Nội,CÔNG TY TNHH MICROTEC VIỆT NAM,Thỏa thuận,2 năm,Hà Nội,IT ...
Nhân Viên Triển Khai Bản Vẽ 2D (Part Time) - Trên Toàn Quốc (Trừ Huế Và Đà Nẵng),CÔNG TY TNHH CUBICASA VIỆT NAM - CHI NHÁNH THỪA THIÊN HUẾ,Thỏa thuận,Không yêu cầu,Hà Nội & 31 nơi khác,Không yê...
Nhân Viên Software Developer - Backend (Dev) - Làm Việc Tại Hà Nội,BỆNH VIỆN ĐA KHOA PHƯƠNG ĐÔNG - CHI NHÁNH CÔNG TY TNHH TỔ HỢP Y TẾ PHƯƠNG ĐÔNG,Thỏa thuận,3 năm,Hà Nội,Đại Họ...
Kỹ Sư Hệ Thống (Lương Up To 25M),JPROTECH TECHNOLOGY JSC,25 Triệu,2 năm,Hà Nội,
"Chuyên Viên Cao Cấp Phân Tích Nghiệp Vụ (Tín Dụng, Thanh Toán)","Pro
NGÂN HÀNG THƯƠNG MẠI CỔ PHẦN THỊNH VƯỢNG VÀ PHÁT TRIỂN – PGBANK",Thỏa thuận,3 năm,Hà Nội,IT...
Production Data Executive - 1 Năm Kinh Nghiệm - Thu Nhập Hấp Dẫn - Tại Hà Nội,CÔNG TY TNHH ESOFT VIETNAM,Thỏa thuận,1 năm,Hà Nội,"Cao Đẳng tr..., Data Analyst"
Nhân Viên Kinh Doanh CNTT,CÔNG TY CỔ PHẦN CÔNG NGHỆ DTG,Thỏa thuận,1 năm,Hồ Chí Minh (mới) & 2 nơi khác,"B2..., Direct Sales, B2B, B2G"
(VN 216) Kỹ Sư Phát Triển Phần Mềm Nhúng Matlab Simulink - Được Chọn Làm Tại VN Hoặc Nhật Bản,CTY TNHH R TECHNO VIỆT NAM,Thỏa thuận,2 năm,Hồ Chí Minh (mới),Điện / ...
Machine Learning Engineer - 3 Năm Kinh Nghiệm - Thu Nhập Upto 60M - Tại Hà Nội,CÔNG TY CỔ PHẦN ICSP VIỆT NAM,60 Triệu,3 năm,Hà Nội,"AI Engineer, IT - Phần mềm"
Kỹ Sư Dữ Liệu Lớn (Big Data Engineer),TỔNG CÔNG TY VIỄN THÔNG VIETTEL-CHI NHÁNH TẬP ĐOÀN CÔNG NGHIỆP - VIỄN THÔNG QUÂN ĐỘI,Thỏa thuận,1 năm,Hà Nội,"Data Engineer, 1 nă..., Nghỉ thứ 7, IT - Phần mềm"
"Giảng Viên Đào Tạo Python Fulltime/Parttime, Từ 2 Năm Kinh Nghiệm, Làm Việc Tại Hà Nội/Hồ Chí Minh",CÔNG TY CỔ PHẦN RIKKEI EDUCATION,Thỏa thuận,2 năm,Hà Nội & Hồ Chí Minh (mới),IT - ...
Nhân Viên Thiết Kế,CÔNG TY CP KIDS PLAZA,Thỏa thuận,2 năm,Hà Nội,Marketin...
"Nhân Viên Nhập Và Xử Lý Dữ Liệu Tiếng Nhật N3 N2 (Thu Nhập Hấp Dẫn, Nghỉ Thứ 7 - Chủ Nhật)",CÔNG TY CỔ PHẦN ALTIUS LINK VIỆT NAM,Thỏa thuận,Không yêu cầu,Thỏa thuận,Giáo dục...
Nhân Viên Kinh Doanh Dự Án B2B (IT/Telecom),"Pro
CÔNG TY TNHH MTV VIỄN THÔNG QUỐC TẾ FPT",Thỏa thuận,2 năm,Hồ Chí Minh (mới) & 3 nơi khác,Direct S...
Nhân Viên Manual Tester Tại Hà Nội (Lương: 12 Triệu - 15 Triệu),CÔNG TY TNHH DASVISION,12 Triệu,2 năm,Hà Nội,"Manual Tester, IT - Phần m..."
Chuyên Viên Phát Triển Kinh Doanh (B2B) | Kinh Nghiệm Trên 5 Năm | Lương Cứng Tới 20 Triệu + Thưởng | Remote Hà Nội,CÔNG TY TNHH MANABIE VIỆT NAM,20 Triệu,Trên 5 năm,Hà Nội,"IT ..., Direct Sales, B2B"
