Job Title,Company,Salary,Experience,City,Skills
Nhân Viên Vẽ Minh Họa - Illustrator,TH FASHION JOINT STOCK COMPANY,Thỏa thuận,1 năm,Hồ Chí Minh (mới),"Illustration, Bán lẻ -..."
IOS Developer,UNIT CORP,Thỏa thuận,2 năm,Hồ Chí Minh (mới),"2 năm kinh ..., IT - Phần mềm"
Nhân Viên IT,CÔNG TY TNHH QL VIETNAM AGRORESOURCES,Thỏa thuận,1 năm,Tây Ninh (mới),
Trưởng Nhóm Lập Trình (Java),CÔNG TY CỔ PHẦN CÔNG NGHỆ SICIX,Thỏa thuận,3 năm,Hà Nội,Nghỉ thứ 7
Blockchain Developer,CÔNG TY TNHH TẬP ĐOÀN CÔNG NGHỆ WIKEX EXCHANGE,Thỏa thuận,2 năm,Hồ Chí Minh (mới),
Graphic Designer,CÔNG TY TNHH VIETNAM PREMIUM PRODUCTS TRADING,Thỏa thuận,1 năm,Hồ Chí Minh (mới),Mỹ thuật...
Unity Development Intern,CÔNG TY CỔ PHẦN CÔNG NGHỆ AMUS,Thỏa thuận,Không yêu cầu,Thỏa thuận,
Automation Tester (Bank),CÔNG TY CỔ PHẦN CÔNG NGHỆ PHẦN MỀM TINH VÂN,Thỏa thuận,3 năm,Hà Nội,"Nghỉ thứ 7, IT - Phần mềm"
Business Development Intern,CÔNG TY TNHH CÔNG NGHỆ GIẢI PHÁP CITYNOW,Thỏa thuận,Dưới 1 năm,Hồ Chí Minh (mới),"B2C, Dưới ..., Nghỉ thứ 7, B2B"
Thực Tập Sinh Thiết Kế Hình Ảnh Bằng AI & Retouch,TH FASHION JOINT STOCK COMPANY,Thỏa thuận,Không yêu cầu,Thỏa thuận,Mỹ thuật...
Fresher Business Development (English),CÔNG TY CỔ PHẦN LOTUS TECHNOLOGY SERVICES,Thỏa thuận,Không yêu cầu,Thỏa thuận,"Online Sales, B2B, Có ..."
Nhân Viên Phát Triển Sản Phẩm (Product Executive),CÔNG TY CỔ PHẦN DƯỢC PHẨM FPT LONG CHÂU,Thỏa thuận,1 năm,Hồ Chí Minh (mới),Thương mại ...
Product Executive Intern,NANO TECHNOLOGIES,Thỏa thuận,Không yêu cầu,Thỏa thuận,"K..., Nghỉ thứ 7"
Project Management Assistant Intern,CÔNG TY CP SAVVYCOM,Thỏa thuận,Không yêu cầu,Thỏa thuận,"Nghỉ thứ ..., IT - Phần mềm"
Chuyên Viên Vận Hành Và Quản Lý Hệ Thống Trạm Sạc Điện,CÔNG TY CỔ PHẦN GIẢI PHÁP CÔNG NGHỆ ITS,Thỏa thuận,Không yêu cầu,Thỏa thuận,
Java Developer - Hà Nội - TA150,"Pro
NGÂN HÀNG TMCP VIỆT NAM THỊNH VƯỢNG (VPBANK)",Thỏa thuận,3 năm,Hà Nội,Đại Họ...
Kỹ Thuật Viên (Apple),CÔNG TY CỔ PHẦN THƯƠNG MẠI - DỊCH VỤ PHONG VŨ,Thỏa thuận,1 năm,Hồ Chí Minh (mới),IT - ...
Fullstack Developer (Java + ReactJS),"Pro
FPT IS",Thỏa thuận,3 năm,Hà Nội,"3 năm kinh ..., Nghỉ thứ 7"
IT Support / IT Helpdesk,CÔNG TY TNHH VIETNAM CONCENTRIX SERVICES,Thỏa thuận,1 năm,Hồ Chí Minh (mới),Tuổi ...
AI Engineer,"Pro
FPT IS",Thỏa thuận,2 năm,Hà Nội,"AI Engineer, Nghỉ thứ 7, Đạ..."
Tester (Junior - Có Kinh Nghiệm Query Database),CÔNG TY CỔ PHẦN SYNODUS,Thỏa thuận,2 năm,Hà Nội,"2 nă..., Manual Tester, Nghỉ thứ 7, IT - Phần mềm"
Quản Trị Hệ Thống & Thiết Bị Cửa Hàng,HỘ KINH DOANH SỬA CHỮA BẢO HÀNH 1 (ONE),Thỏa thuận,1 năm,Hồ Chí Minh (mới),I...
Nhân Viên Thiết Kế (Graphic Designer),HỆ THỐNG ANH NGỮ AMES ENGLISH,Thỏa thuận,1 năm,Hà Nội,Nghỉ thứ...
Intern Product Marketing Mobile App,CÔNG TY CỔ PHẦN ECO MOBILE,Thỏa thuận,Không yêu cầu,Thỏa thuận,Ng...
Product Owner (Saas Product),CÔNG TY CP CÔNG NGHỆ THÔNG TIN QIKIFY,Thỏa thuận,1 năm,Hà Nội,"1..., Nghỉ thứ 7"
Nhân Viên Marketing Designer,CÔNG TY CỔ PHẦN THUẬN HẢI COMMODITIES,Thỏa thuận,Không yêu cầu,Thỏa thuận,Marketin...
Thực Tập Sinh Phân Tích Nghiệp Vụ,CÔNG TY CỔ PHẦN TRUYỀN THÔNG VĂN HOÁ VIỆT,Thỏa thuận,Dưới 1 năm,Hà Nội,IT...
Thực Tập Sinh Kinh Doanh (Dịch Vụ Thiết Kế Web),CÔNG TY TNHH THƯƠNG MẠI ĐIỆN TỬ CÔNG NGHỆ LP,Thỏa thuận,Không yêu cầu,Thỏa thuận,Online S...
Chuyên Viên Graphic Designer Giáo Dục,CÔNG TY CỔ PHẦN ANH NGỮ QUỐC TẾ SUNUNI ACADEMY,Thỏa thuận,2 năm,Hà Nội,Thiết kế...
Software Engineer (Java),CÔNG TY CỔ PHẦN GIẢI PHÁP PHẦN MỀM BIPLUS VIỆT NAM,Thỏa thuận,3 năm,Hà Nội,Nghỉ thứ 7
Business Analyst,CÔNG TY CỔ PHẦN CÔNG NGHỆ PHẦN MỀM TINH VÂN,Thỏa thuận,3 năm,Hà Nội,IT...
Chuyên Viên Thiết Kế (Graphic Design),CÔNG TY CỔ PHẦN VUA NỆM,Thỏa thuận,2 năm,Hà Nội,Bán lẻ -...
Intern System Engineer (Thực Tập Kỹ Sư Hệ Thống),"Pro
CÔNG TY CỔ PHẦN CÔNG NGHỆ MẠNG VÀ TRUYỀN THÔNG",Thỏa thuận,Không yêu cầu,Thỏa thuận,Nghỉ thứ 7
Retail Store Segmentation & Sales Analytics Intern,CÔNG TY CỔ PHẦN DƯỢC AIKYA,Thỏa thuận,Không yêu cầu,Thỏa thuận,IT - ...
CTV Xếp Level Game Design,CÔNG TY TNHH HORUS PRODUCTIONS,Thỏa thuận,Không yêu cầu,Thỏa thuận,"Đại ..., Game Design"
UI UX Designer,CÔNG TY CỔ PHẦN INFINITY TECHNOLOGIES GLOBAL,Thỏa thuận,2 năm,Hà Nội,"Đ..., Nghỉ thứ 7, UI/UX Design"
Thực Tập Sinh PMO (Project Management Officer),"Pro
FPT IS",Thỏa thuận,Không yêu cầu,Thỏa thuận,Nghỉ ...
CTV Xếp Level Game Design,CÔNG TY TNHH HỌC LÝ PHƯƠNG ĐÔNG,Thỏa thuận,Không yêu cầu,Thỏa thuận,"Đại ..., Game Design"
Devops Engineer,VIETTEL SOFTWARE,Thỏa thuận,1 năm,Hà Nội,IT - Phần mềm
CTV Xếp Level Game Design,CÔNG TY TNHH CÔNG NGHỆ NHẬN THỨC MÁY HORUS AI,Thỏa thuận,Không yêu cầu,Thỏa thuận,"Đại ..., Game Design"
Lập Trình Game Mobile Unity 3D (Level Junior),CÔNG TY TNHH CÔNG NGHỆ NHẬN THỨC MÁY HORUS AI,Thỏa thuận,1 năm,Hà Nội,
Game Designer (Level Intern),CÔNG TY TNHH CÔNG NGHỆ NHẬN THỨC MÁY HORUS AI,Thỏa thuận,Không yêu cầu,Thỏa thuận,"Game, Game Design"
Nhân Viên Kinh Doanh/ Sales/ Tư Vấn Bán Hàng,CÔNG TY CỔ PHẦN ALLIEX VIỆT NAM,Thỏa thuận,Dưới 1 năm,Hồ Chí Minh (mới) & Hà Nội,"Telesa..., Direct Sales"
Data Engineer,CÔNG TY CỔ PHẦN CÔNG NGHỆ ALPHAWAY,Thỏa thuận,2 năm,Hà Nội,"Data Engineer, Nghỉ thứ 7"
Nhân Viên Vận Hành Game Offline,CÔNG TY CỔ PHẦN CÔNG NGHỆ VÀ DỊCH VỤ XGAME,Thỏa thuận,1 năm,Hà Nội,1 năm...
Senior Security Network Engineer,CÔNG TY TNHH TECHTRONIC PRODUCTS (VIỆT NAM),Thỏa thuận,3 năm,Hồ Chí Minh (mới),"Nghỉ thứ 7, 3 năm k..."
Data Engineer,CÔNG TY CỔ PHẦN CÔNG NGHỆ ALPHAWAY,Thỏa thuận,2 năm,Hà Nội,"Data Engineer, Nghỉ thứ 7"
Chuyên Viên Vận Hành Ứng Dụng PGMS,CÔNG TY CỔ PHẦN SỮA VITADAIRY VIỆT NAM,Thỏa thuận,2 năm,Hồ Chí Minh (mới),"2 năm kinh..., Nghỉ thứ 7"
Manual Tester,CÔNG TY TNHH RELIPA,Thỏa thuận,1 năm,Hà Nội,"1 nă..., Manual Tester, Nghỉ thứ 7, IT - Phần mềm"
Middle Tester (Product),CÔNG TY CỔ PHẦN SYNODUS,Thỏa thuận,3 năm,Hà Nội,"3 ..., Nghỉ thứ 7, IT - Phần mềm"
Nhân Viên Hỗ Trợ Kỹ Thuật Layer 2,CÔNG TY CỔ PHẦN BPO MẮT BÃO,Thỏa thuận,1 năm,Hồ Chí Minh (mới),"IT - Phầ..., IT - Phần mềm"
Quản Lý Kế Hoạch Và Chính Sách Kinh Doanh,CÔNG TY CỔ PHẦN THIẾT BỊ CÔNG NGHIỆP GEIC,Thỏa thuận,3 năm,Hà Nội,Tà...
Tester (Domain Ngân Hàng),CÔNG TY CỔ PHẦN SYNODUS,Thỏa thuận,3 năm,Hà Nội,"3 nă..., Manual Tester, Nghỉ thứ 7, IT - Phần mềm"
Quản Lý Dự Án Khối Công Nghệ (PM) - Lương Upto 27 Triệu,CÔNG TY CỔ PHẦN SCOTS ENGLISH AUSTRALIA,27 Triệu,2 năm,Hà Nội,IT - Phần m...
QA Intern,CÔNG TY TNHH DỊCH VỤ TFS,Thỏa thuận,Không yêu cầu,Thỏa thuận,"QA Engineer, Nghỉ thứ 7"
Graphic Designer Tại Phòng Khám Da Liễu - Thu Nhập Hấp Dẫn,CÔNG TY TNHH 4U GROUP,Thỏa thuận,1 năm,Hồ Chí Minh (mới),Marketin...
Chuyên Viên Thiết Kế,CÔNG TY CỔ PHẦN TẬP ĐOÀN MY SECOND HOME,Thỏa thuận,2 năm,Hà Nội,2 năm ki...
Nhân Viên Gán Nhãn Dữ Liệu Tiếng Nhật (N2-N1),CÔNG TY TNHH APPEN DATA TECHNOLOGY VIỆT NAM,Thỏa thuận,Không yêu cầu,Thỏa thuận,Nghỉ thứ...
.Net Developer,"Pro
CÔNG TY CỔ PHẦN VIỄN THÔNG FPT",Thỏa thuận,2 năm,Hồ Chí Minh (mới),"Nghỉ thứ..., IT - Phần mềm"
Devops Engineer (Kubernetes & Cloud),"Pro
CÔNG TY CỔ PHẦN VIỄN THÔNG FPT",Thỏa thuận,2 năm,Hồ Chí Minh (mới),"Nghỉ thứ 7, 2 ..., IT - Phần mềm"
IT Sales,CÔNG TY CỔ PHẦN VINOVA HCM,Thỏa thuận,2 năm,Hà Nội & 2 nơi khác,"Online Sa..., Direct Sales"
Manual Tester,CÔNG TY TNHH EQUIX TECHNOLOGIES,Thỏa thuận,1 năm,Hà Nội,IT ...
"Thực Tập Sinh .Net Developer ( ASP.NET , C#)",CÔNG TY TNHH W2SOLUTION VIỆT NAM,Thỏa thuận,Không yêu cầu,Thỏa thuận,"Nghỉ thứ 7, IT - Phần mềm"
C++/C# Developer - GIS Application (Remote),CÔNG TY TNHH PHẦN MỀM GIÁ TRỊ TÍNH TOÁN VÀ ỨNG DỤNG CÔNG NGHỆ CAO,Thỏa thuận,4 năm,Hà Nội & 33 nơi khác,"Nghỉ thứ 7, IT - Phần mềm"
Fullstack Developer,CÔNG TY CỔ PHẦN TẬP ĐOÀN VAS NGHI SƠN,Thỏa thuận,2 năm,Hồ Chí Minh (mới),"Nghỉ thứ..., IT - Phần mềm"
Senior IT Helpdesk & System,CÔNG TY CỔ PHẦN THỊNH THẾ VINH HOA,Thỏa thuận,4 năm,Hồ Chí Minh (mới),
IT Backend Developer (.NET Core),CÔNG TY TNHH AZIWORLD,Thỏa thuận,2 năm,Hồ Chí Minh (mới),"2 năm kinh..., IT - Phần mềm"
FullStack Developer (C#) (Remote),CÔNG TY TNHH PHẦN MỀM GIÁ TRỊ TÍNH TOÁN VÀ ỨNG DỤNG CÔNG NGHỆ CAO,Thỏa thuận,1 năm,Hà Nội & 14 nơi khác,"Nghỉ thứ..., IT - Phần mềm"
"Fresher Java (6 Tháng-1 Năm Kinh Nghiệm, Thu Nhập 8-12tr/Tháng)",CÔNG TY CỔ PHẦN ĐẦU TƯ CÔNG NGHỆ VÀ THƯƠNG MẠI SOFTDREAMS,8 - 12 Triệu,Dưới 1 năm,Hà Nội,
Business Analyst,CÔNG TY TNHH AZIWORLD,Thỏa thuận,2 năm,Hồ Chí Minh (mới),IT...
Nhân Viên Thiết Kế UI/UX,CÔNG TY TNHH AZIWORLD,Thỏa thuận,2 năm,Hồ Chí Minh (mới),"IT - Phầ..., UI/UX Design"
Kỹ Sư Trí Tuệ Nhân Tạo,TỔNG CÔNG TY MẠNG LƯỚI VIETTEL-CHI NHÁNH TẬP ĐOÀN CÔNG NGHIỆP-VIỄN THÔNG QUÂN ĐỘI,Thỏa thuận,1 năm,Hà Nội,"AI Engineer, Tiếng ..., Nghỉ thứ 7, IT - Phần mềm"
UI/UX Designer,CÔNG TY TNHH EAERA VIỆT NAM,Thỏa thuận,1 năm,Hà Nội,"Đ..., Nghỉ thứ 7, UI/UX Design"
Junior Project Manager,CÔNG TY TNHH JITS INNOVATION LABS,Thỏa thuận,Dưới 1 năm,Hà Nội,"Ngân hàng, Tà..."
Backend Developer (Nodejs),CÔNG TY TNHH UNSTATIC,Thỏa thuận,3 năm,Hà Nội,"Nghỉ thứ 7, IT - Phần mềm"
Nhân Viên IT Angular Developer,CÔNG TY TNHH AZIWORLD,Thỏa thuận,2 năm,Hồ Chí Minh (mới),"2 năm kinh..., IT - Phần mềm"
Middle/Senior UI UX Designer,CÔNG TY TNHH UNSTATIC,Thỏa thuận,3 năm,Hà Nội,"IT - Phần mềm, 3 năm..., Nghỉ thứ 7, UI/UX Design"
DevOps Engineer (Từ 1 Năm Kinh Nghiệm),CÔNG TY TNHH JITS INNOVATION LABS,Thỏa thuận,1 năm,Hà Nội,Nghỉ thứ 7
Nhân Viên Graphic Design (Lương Cứng Upto 16 Triệu + Thưởng),CÔNG TY TNHH EVERRED GROUP,16 Triệu,Dưới 1 năm,Hà Nội,Marketin...
Back-End Developer,CÔNG TY TNHH GLODIVAL,Thỏa thuận,Không yêu cầu,Thỏa thuận,
"Tester (Từ 1 Năm Kinh Nghiệm, Lương 7-12 Triệu, Nghỉ Thứ 7 - CN)",CÔNG TY TNHH PHÁT TRIỂN CÔNG NGHỆ ECOMBE,7 - 12 Triệu,1 năm,Hà Nội,"1 nă..., Manual Tester, Nghỉ thứ 7, IT - Phần mềm"
AI System Tester (Manual + AI Validation),CÔNG TY TNHH AETHER NOVA AI,Thỏa thuận,1 năm,Hồ Chí Minh (mới),IT ...
Full-Stack Developer (Fresher) - Salary Upto 15 Mil,CÔNG TY TNHH GIẢI PHÁP PHẦN MỀM NOVA ENGINE,15 Triệu,Không yêu cầu,Thỏa thuận,"Nghỉ thứ..., IT - Phần mềm"
Front End Developer (ReactJS),CÔNG TY CỔ PHẦN GIFTY TECH,Thỏa thuận,1 năm,Hải Phòng (mới),"Nghỉ thứ ..., IT - Phần mềm"
"Frontend Developer (Shopify, Thành Thạo HTML.CSS, JS, Từ 2 Năm Kinh Nghiệm, Lương Từ 10-16 Triệu)",CÔNG TY TNHH PHÁT TRIỂN CÔNG NGHỆ ECOMBE,10 - 16 Triệu,2 năm,Hà Nội,"Nghỉ thứ ..., IT - Phần mềm"
AI System Engineer,CÔNG TY TNHH AETHER NOVA AI,Thỏa thuận,1 năm,Hồ Chí Minh (mới),"AI Engineer, IT - Phần mềm"
Nhân Viên IT,CÔNG TY CỔ PHẦN CÔNG NGHỆ PHÚC BÌNH,Thỏa thuận,1 năm,Hà Nội,
Bridge Software Engineer Tiếng Nhật (BrSE),CÔNG TY TNHH KIT SYSTEM SOLUTIONS VIỆT NAM,Thỏa thuận,1 năm,Hồ Chí Minh (mới),Nghỉ thứ 7
Security Engineer (Blue Team),CÔNG TY TNHH JITS INNOVATION LABS,Thỏa thuận,1 năm,Hà Nội,"Tiếng A..., Nghỉ thứ 7"
Business Analyst,CÔNG TY CỔ PHẦN PARALINE SOFTWARE,Thỏa thuận,2 năm,Hà Nội,Ng...
Java Developer,CÔNG TY TNHH WANOSOFT,Thỏa thuận,5 năm,Hà Nội,"Nghỉ thứ 7, IT - Phần mềm"
Nhân Viên Kiểm Thử Phần Mềm,CÔNG TY CỔ PHẦN PHẦN MỀM REVOTECH,Thỏa thuận,3 năm,Hà Nội,"3 nă..., Manual Tester, Nghỉ thứ 7, IT - Phần mềm"
Chuyên Viên Kiểm Thử Phần Mềm (Auto),CÔNG TY CỔ PHẦN CÔNG NGHỆ ITG,Thỏa thuận,Dưới 1 năm,Hà Nội,Nghỉ thứ 7
Project Manager IT (Quản Lý Dự Án),CÔNG TY CỔ PHẦN PHẦN MỀM REVOTECH,Thỏa thuận,3 năm,Hà Nội,"Nghỉ thứ ..., IT - Phần mềm"
"Automation Tester (Lĩnh Vực Trung Gian Thanh Toán) - Thu Nhập Upto 25 Triệu (Hỗ Trợ Ăn Trưa, Thưởng Năng Suất Và Lợi Nhuận Cao) Tại Hà Nội",CÔNG TY CỔ PHẦN THƯƠNG MẠI ĐIỆN TỬ BẢO KIM,25 Triệu,2 năm,Hà Nội,Tài...
Fullstack Developer (NodeJs),"Pro
CÔNG TY TNHH SAMSUNG SDS VIỆT NAM",Thỏa thuận,Trên 5 năm,Hà Nội,"Nghỉ thứ..., IT - Phần mềm"
Phân Tích Nghiệp Vụ Hệ Thống Quản Trị Sản Xuất,CÔNG TY CỔ PHẦN CÔNG NGHỆ ITG,Thỏa thuận,2 năm,Hà Nội,IT...
Business Analyst,CÔNG TY TNHH AN NINH AN TOÀN THÔNG TIN CMC,Thỏa thuận,3 năm,Hà Nội,IT...
Nhân Viên Phân Tích Nghiệp Vụ (Business Analyst),CÔNG TY CỔ PHẦN PHẦN MỀM REVOTECH,Thỏa thuận,2 năm,Hà Nội,IT...
Backend Developer (PHP),CÔNG TY CỔ PHẦN TOPCV VIỆT NAM,Thỏa thuận,2 năm,Hà Nội,"Nghỉ thứ 7, IT - Phần mềm"
Kĩ Sư Cầu Nối Tiếng Hàn (Korean Bridge Engineer),"Pro
CÔNG TY TNHH SAMSUNG SDS VIỆT NAM",Thỏa thuận,4 năm,Hà Nội,Nghỉ thứ 7
Java Developer (Middle/Senior),CÔNG TY TNHH CMC GLOBAL,Thỏa thuận,3 năm,Hà Nội,Cao ...
Frontend Lowcode Developer,CÔNG TY TNHH LG CNS VIỆT NAM,Thỏa thuận,3 năm,Hà Nội,"Nghỉ thứ ..., IT - Phần mềm"
Lập Trình Viên Java Fullstack,CÔNG TY CỔ PHẦN PHẦN MỀM REVOTECH,Thỏa thuận,3 năm,Hà Nội,"Nghỉ thứ 7, IT - Phần mềm"
Nhân Viên Kinh Doanh/ Sales Phần Mềm,CÔNG TY CỔ PHẦN CÔNG NGHỆ WINDSOFT VIỆT NAM,Thỏa thuận,Dưới 1 năm,Hồ Chí Minh (mới) & Hà Nội,"Online Sales, Telesales"
"Business Analyst [Hà Nội] - Tuyển Nam, Thu Nhập Upto 15 Triệu, Tối Thiểu 1 Năm Kinh Nghiệm",CÔNG TY TNHH PANCAKE VIỆT NAM,15 Triệu,1 năm,Hà Nội,Th...
Business Analyst (Domain Banking),CÔNG TY TNHH EQUIX TECHNOLOGIES,Thỏa thuận,3 năm,Hà Nội,IT...
Game Developer,CÔNG TY CỔ PHẦN NEXAR (NEXAR GAMES),Thỏa thuận,1 năm,Hà Nội,"Nghỉ thứ ..., Game, Game Developer, IT - Phần mềm"
Mobile Flutter Developer,CÔNG TY TNHH TOWNSOFT VINA,Thỏa thuận,3 năm,Hà Nội,"T..., Nghỉ thứ 7, IT - Phần mềm"
Unity Developer (Puzzle Game),CÔNG TY CỔ PHẦN WEEGOON GLOBAL,Thỏa thuận,3 năm,Hà Nội,"Game Developer, Nghỉ thứ 7"
Data Scientist (Middle+),CÔNG TY TNHH NGÔI SAO DŨNG CẢM,Thỏa thuận,3 năm,Hà Nội,"Data Scientist, Nghỉ thứ 7"
Chuyên Viên Phân Tích Nghiệp Vụ,"Pro
CÔNG TY CỔ PHẦN TẬP ĐOÀN HIPT",Thỏa thuận,3 năm,Hà Nội,IT...
Nhân Viên Lập Trình Mobile,CÔNG TY CỔ PHẦN CÔNG NGHỆ VCS VIỆT NAM,Thỏa thuận,2 năm,Hà Nội,"2 năm kinh ..., IT - Phần mềm"
Business Analyst (Chuyên Viên Phân Tích Nghiệp Vụ),CÔNG TY CỔ PHẦN VIETSOL,Thỏa thuận,3 năm,Hà Nội,3 ...
Junior Lập Trình Python Cho AI Agent,CÔNG TY CP XNK TIÊN PHONG VN,Thỏa thuận,3 năm,Hà Nội,"Điện toán ..., IT - Phần mềm"
Mobile Android Developer,CÔNG TY TNHH KINH DOANH TỔNG HỢP TUẤN PHÁT,Thỏa thuận,1 năm,Hà Nội,"1 năm kinh ..., IT - Phần mềm"
DevOps Engineer (Junior/Middle/Senior),CÔNG TY TNHH CMC GLOBAL,Thỏa thuận,2 năm,Hà Nội,Đại Họ...
C++ Developer,FPT SOFTWARE,Thỏa thuận,1 năm,Hà Nội,"Nghỉ thứ ..., IT - Phần mềm"
Data Engineer (DA),CÔNG TY TNHH LG CNS VIỆT NAM,Thỏa thuận,3 năm,Hà Nội,"Data Engineer, Nghỉ thứ 7"
SAP ABAP Cloud/ RAP Technical Consultant,CÔNG TY TNHH LG CNS VIỆT NAM,Thỏa thuận,3 năm,Hà Nội,"Nghỉ thứ 7, IT - Phần mềm"
Giảng Viên Công Nghệ Thông Tin - HĐLĐ,HỌC VIỆN HÀNG KHÔNG VIỆT NAM,Thỏa thuận,3 năm,Hồ Chí Minh (mới),A...
Test Engineer (N2/N3),CÔNG TY TNHH CMC GLOBAL,Thỏa thuận,4 năm,Hà Nội,Đại Họ...
Business Development Representative Leader (BDR Leader),CÔNG TY CP KHOA HỌC DỮ LIỆU,Thỏa thuận,2 năm,Hồ Chí Minh (mới),"Marke..., B2B, IT - Phần mềm"
Chuyên Viên Kinh Doanh/ Senior Sales Phần Mềm - Hà Nội & Hồ Chí Minh,CÔNG TY TNHH PHÁT TRIỂN HƯƠNG VIỆT,Thỏa thuận,2 năm,Hồ Chí Minh (mới) & Hà Nội,"IT - P..., Direct Sales, B2B"
Senior Pentester,CÔNG TY CP AN NINH MẠNG VIỆT NAM,Thỏa thuận,3 năm,Hà Nội,An ninh mạng
Nhân Viên Kinh Doanh Phần Mềm Marketing Shopee - Lương Cứng Không Phụ Thuốc Doanh Số - Hoa Hồng Lên Đến 40%,CÔNG TY CỔ PHẦN CÔNG NGHỆ ATOSA,Thỏa thuận,1 năm,Hà Nội,"Online Sales, Telesales"
"Automation Tester (2 YOE), Proficient In English",CÔNG TY TNHH SYNERGIX TECHNOLOGIES VIỆT NAM,Thỏa thuận,2 năm,Hà Nội,"Nghỉ thứ 7, IT - Phần mềm"
Lập Trình Viên IOS (Product Domain Bank/Fintech),CÔNG TY CỔ PHẦN ATOMI DIGITAL,Thỏa thuận,3 năm,Hà Nội,Nghỉ thứ 7
Fresher Android Talent,"Pro
FPT SOFTWARE",Thỏa thuận,Dưới 1 năm,Hà Nội,"T..., Nghỉ thứ 7, IT - Phần mềm"
Game Designer,WAYFU STUDIO,Thỏa thuận,Dưới 1 năm,Hà Nội,"Dưới 1..., Nghỉ thứ 7, Game Design, IT - Phần mềm"
Trưởng Nhóm Thiết Kế (Design Team Leader),CÔNG TY TNHH ANNA EYEGLASSES HÀ NỘI,Thỏa thuận,3 năm,Hà Nội & Hồ Chí Minh (mới),Thiết kế...
Kỹ Sư TDD (C++),CÔNG TY TNHH ALPHA NETWORKS VIỆT NAM,Thỏa thuận,1 năm,Ninh Bình (mới),Nghỉ th...
AI Generative Engineer,CÔNG TY TNHH BITU VIỆT NAM,Thỏa thuận,2 năm,Hà Nội,"AI Engineer, Nghỉ thứ 7, Đạ..."
Chuyên Viên Vận Hành Nghiệp Vụ Chứng Khoán,CÔNG TY CỔ PHẦN CHỨNG KHOÁN HD,Thỏa thuận,2 năm,Hồ Chí Minh (mới),Nghỉ thứ...
Designer,CÔNG TY TNHH XÓM MEDIA,Thỏa thuận,1 năm,Hồ Chí Minh (mới),Marketin...
Salesforce BrSE / Project Leader,CÔNG TY TNHH CIRCLACE HT,Thỏa thuận,1 năm,Hồ Chí Minh (mới),"Nghỉ thứ ..., IT - Phần mềm"
Creative Graphic Designer,CÔNG TY CỔ PHẦN TV HUB,Thỏa thuận,5 năm,Hồ Chí Minh (mới),Marketin...
Thực Tập Sinh Design,CÔNG TY TNHH THƯƠNG MẠI VÀ DỊCH VỤ CÔNG NGHỆ TLT,Thỏa thuận,Không yêu cầu,Thỏa thuận,Không yê...
Chuyên Viên Kỹ Thuật Linux/Unix Và Docker,CÔNG TY TNHH GIẢI PHÁP SOLBIZ,Thỏa thuận,1 năm,Đà Nẵng (mới),"Nghỉ thứ 7, IT - Phần mềm"
Management Information System Supervisor (MIS),CÔNG TY CỔ PHẦN PMAC,Thỏa thuận,2 năm,Hồ Chí Minh (mới),2 ...
React Native Developer,CÔNG TY CỔ PHẦN CÔNG NGHỆ ALPHAWAY,Thỏa thuận,3 năm,Hà Nội,Nghỉ thứ 7
Thực Tập Sinh Lập Trình GIS,CÔNG TY CỔ PHẦN LIFETEX,Thỏa thuận,Không yêu cầu,Thỏa thuận,"GIS Engineer, Cao..."
Graphic Designer,CÔNG TY CỔ PHẦN DỊCH VỤ BẠN UỐNG TÔI LÁI,Thỏa thuận,1 năm,Hồ Chí Minh (mới),1 năm ki...
Kiểm Thử Phần Mềm (Tester),"Pro
VIETTEL IDC",Thỏa thuận,3 năm,Hà Nội,IT ...
Braking System Embedded Developer [Intern/Fresher],CÔNG TY TNHH HCL VIỆT NAM.,Thỏa thuận,Không yêu cầu,Thỏa thuận,Điệ...
Product Owner,CÔNG TY TNHH GIẢI PHÁP CÔNG NGHỆ THÔNG TIN VÀ TRUYỀN THÔNG QSOFT,Thỏa thuận,1 năm,Hà Nội,IT - Phần m...
Backend Developer (Python Dev),CÔNG TY TNHH GIẢI PHÁP PHÂN TÍCH DỮ LIỆU INSIGHT DATA,Thỏa thuận,2 năm,Hà Nội,"Nghỉ thứ 7, IT - Phần mềm"
Frontend Dev (OS Bank),CÔNG TY TNHH GIẢI PHÁP PHÂN TÍCH DỮ LIỆU INSIGHT DATA,Thỏa thuận,4 năm,Hà Nội,"Ngân hàng, IT - Phần mềm"
Nhân Viên Graphic Designer (Mảng Game),CÔNG TY TNHH PEGASUS,Thỏa thuận,Dưới 1 năm,Hà Nội,Marketin...
Application Support Engineer,CÔNG TY TNHH ĐẦU TƯ 24INVEST,Thỏa thuận,2 năm,Hà Nội,
Java Developer - OB Sớm,CÔNG TY TNHH GIẢI PHÁP PHÂN TÍCH DỮ LIỆU INSIGHT DATA,Thỏa thuận,3 năm,Hà Nội,"3 năm ki..., IT - Phần mềm"
Nhân Viên BA,CÔNG TY CỔ PHẦN THƯƠNG MẠI & DỊCH VỤ MEDLATEC GROUP,Thỏa thuận,3 năm,Hà Nội,IT - Phần c...
Business Analyst (Dự Án Healthcare),CÔNG TY CỔ PHẦN SYNODUS,Thỏa thuận,4 năm,Hà Nội,IT...
AI Engineer,CÔNG TY CỔ PHẦN KAOPIZ SOFTWARE,Thỏa thuận,4 năm,Hà Nội,"AI Engineer, Nghỉ thứ 7, Đạ..."
